date,symbol,name,open,high,low,close,volume,amount,amplitude,pct_change,change,turnover
2010-01-04,000619,海螺新材,13.69,13.74,13.55,13.57,45014,61211320.0,1.4,-0.37,-0.05,1.25
2010-01-05,000619,海螺新材,13.61,13.63,13.25,13.49,58482,78513816.0,2.8,-0.59,-0.08,1.62
2010-01-06,000619,海螺新材,13.5,13.64,13.37,13.37,67297,90863912.0,2.0,-0.89,-0.12,1.87
2010-01-07,000619,海螺新材,13.32,13.37,12.75,12.86,105176,137136224.0,4.64,-3.81,-0.51,2.92
2010-01-08,000619,海螺新材,12.87,13.14,12.83,13.08,46122,59888816.0,2.41,1.71,0.22,1.28
2010-01-11,000619,海螺新材,13.04,13.3,12.95,13.01,54761,71669248.0,2.68,-0.54,-0.07,1.52
2010-01-12,000619,海螺新材,13.01,13.63,12.88,13.56,102119,135939856.0,5.76,4.23,0.55,2.84
2010-01-13,000619,海螺新材,13.2,13.5,13.19,13.22,69155,92229480.0,2.29,-2.51,-0.34,1.92
2010-01-14,000619,海螺新材,13.25,13.63,13.24,13.6,86642,117059680.0,2.95,2.87,0.38,2.41
2010-01-15,000619,海螺新材,13.67,14.19,13.5,14.12,151975,211853728.0,5.07,3.82,0.52,4.22
2010-01-18,000619,海螺新材,14.14,14.54,14.13,14.32,148156,212355296.0,2.9,1.42,0.2,4.12
2010-01-19,000619,海螺新材,14.4,14.69,14.02,14.52,178726,257578528.0,4.68,1.4,0.2,4.96
2010-01-20,000619,海螺新材,14.62,15.19,14.25,14.43,304473,451720608.0,6.47,-0.62,-0.09,8.46
2010-01-21,000619,海螺新材,14.49,14.5,13.89,14.03,165103,232601504.0,4.23,-2.77,-0.4,4.59
2010-01-22,000619,海螺新材,13.9,14.28,13.38,13.64,110573,152720800.0,6.41,-2.78,-0.39,3.07
2010-01-25,000619,海螺新材,13.69,14.08,13.66,13.8,74047,102709736.0,3.08,1.17,0.16,2.06
2010-01-26,000619,海螺新材,13.73,13.98,13.12,13.23,74194,99683592.0,6.23,-4.13,-0.57,2.06
2010-01-27,000619,海螺新材,13.22,13.41,12.88,13.03,57494,75520528.0,4.01,-1.51,-0.2,1.6
2010-01-28,000619,海螺新材,13.03,13.36,13.03,13.18,52007,68516608.0,2.53,1.15,0.15,1.44
