state_variable,state_group,n_windows,n_stocks,adf_reject_rate,adf_pvalue_mean,adf_pvalue_median,adf_pvalue_q25,adf_pvalue_q75
range_pct,low,98436,80,0.10099963428014141,0.4337004695602059,0.397760279461027,0.16290513967972836,0.6838696387313147
range_pct,mid,98426,80,0.07357811960254404,0.4457387609255792,0.4253933852898866,0.20604722926666674,0.6649720006948798
range_pct,high,98428,80,0.03634128500020319,0.5426897604107729,0.5608268277064707,0.3170165116610596,0.7798123601257265
expansion,low,98434,80,0.06540423024564683,0.4671051217277079,0.46002811924997744,0.22534462093346344,0.6953288865884018
expansion,mid,98429,80,0.08095175202430178,0.47641699243446783,0.46400293338858684,0.2062113078991955,0.7403499506731525
expansion,high,98427,80,0.06456561715789366,0.4786046180593089,0.4724914598134449,0.23090232101377572,0.7180461696167852
structure_dir,low,98430,80,0.047800467337193946,0.5102709028884609,0.5172036085239589,0.2759098937279688,0.7468869591242766
structure_dir,mid,98430,80,0.10680686782485015,0.40992670581536117,0.3717580746232426,0.1518970658626262,0.6359753717179154
structure_dir,high,98430,80,0.05631413187036473,0.5019286784261285,0.5000896192900769,0.25330798508326946,0.7524145869314649
range_pos,low,98430,80,0.05857970131057604,0.5222745155345988,0.533685451419566,0.26374017041993314,0.7902323686852272
range_pos,mid,98430,80,0.09581428426292797,0.38200676154011476,0.3624308685091908,0.16076245654473997,0.5822902757934962
range_pos,high,98430,80,0.05652748145890481,0.5178450100552369,0.5192033424790607,0.26092068578913474,0.7858848400954377
upper_break,low,224676,80,0.07320764122558707,0.46945245839030975,0.45942959362439595,0.21487131519615515,0.7135392496457202
upper_break,high,70614,80,0.06107853966635511,0.4886451681097205,0.4846497828694849,0.24067947637728176,0.7286651432127879
lower_break,low,226023,80,0.07328457723329042,0.46783862971072654,0.45821044410338646,0.2144477155669862,0.7093322032357229
lower_break,high,69267,80,0.06059162371692148,0.4942844332668298,0.48989889023853106,0.24245975851998033,0.7429064543678998
move_age,low,100018,80,0.06584814733347998,0.4872634026537666,0.48674801773967724,0.23265138721703907,0.7377298969284365
move_age,mid,98743,80,0.0759344966225454,0.4541268707886931,0.44302632111164963,0.20596633004289383,0.6883979021479659
move_age,high,96529,80,0.06917092272788489,0.4807149129617906,0.46856273089126715,0.2249205636746524,0.72553870072279
extrema_freq,low,98446,80,0.060855697539767994,0.49573534684742165,0.49415634675343045,0.2428742855716482,0.7470725415041781
extrema_freq,mid,104341,80,0.0795277024372011,0.4471922541708816,0.42701599417149044,0.19933437452260483,0.6794524295496545
extrema_freq,high,92503,80,0.06996529842275385,0.48124105698210656,0.4810390706721634,0.22758996159472605,0.7254692606316828
speed_imbalance,low,98449,80,0.060224075409602944,0.4910865604010217,0.4906603861738,0.24616513414265007,0.7309311328017079
speed_imbalance,mid,98411,80,0.08501082196095965,0.4559767710811823,0.4347263686339783,0.1922806839331411,0.7052232057916241
speed_imbalance,high,98430,80,0.06569135426191201,0.47505617838474656,0.4688108196066888,0.2267454076705248,0.7134090882016162
speed_level,low,98455,80,0.10062465085572089,0.4171196875299397,0.3797187587953896,0.15830274682044893,0.6458431063431334
speed_level,mid,98413,80,0.0664444737991932,0.4695015921867577,0.46092402087227624,0.22718708060134757,0.7022984919831143
speed_level,high,98422,80,0.04384182398244295,0.5355236777810392,0.548539272791034,0.2978344602772092,0.7848080453023883
