"window_id","n_obs","minw","lag","nrep","gsadf_stat","gsadf_cv95","gsadf_reject","error"
"w000001",60,50,1,499,-1.63630213705923,0.461119876580165,FALSE,""
"w000002",60,50,1,499,-1.28155120255933,0.461119876580165,FALSE,""
"w000003",60,50,1,499,-1.57608636012455,0.461119876580165,FALSE,""
"w000004",60,50,1,499,-1.06920736042614,0.461119876580165,FALSE,""
"w000005",60,50,1,499,-1.42337259894482,0.461119876580165,FALSE,""
"w000006",60,50,1,499,-0.169931390295637,0.461119876580165,FALSE,""
"w000007",60,50,1,499,-1.37947299391175,0.461119876580165,FALSE,""
"w000008",60,50,1,499,-0.532340373486874,0.461119876580165,FALSE,""
"w000009",60,50,1,499,-1.44674875291278,0.461119876580165,FALSE,""
"w000010",60,50,1,499,-0.806849175428038,0.461119876580165,FALSE,""
"w000011",60,50,1,499,-1.03258828164651,0.461119876580165,FALSE,""
"w000012",60,50,1,499,-1.17257635824092,0.461119876580165,FALSE,""
"w000013",60,50,1,499,4.68433077284883,0.461119876580165,TRUE,""
"w000015",60,50,1,499,-0.178176263472557,0.461119876580165,FALSE,""
"w000016",60,50,1,499,-1.38976018004699,0.461119876580165,FALSE,""
"w000017",60,50,1,499,-1.64535041445623,0.461119876580165,FALSE,""
"w000018",60,50,1,499,-0.637562650768021,0.461119876580165,FALSE,""
"w000019",60,50,1,499,-1.42203555062504,0.461119876580165,FALSE,""
"w000020",60,50,1,499,-1.44513811219503,0.461119876580165,FALSE,""
"w000021",60,50,1,499,-1.17879279043655,0.461119876580165,FALSE,""
"w000022",60,50,1,499,-0.990572211667118,0.461119876580165,FALSE,""
"w000023",60,50,1,499,-1.33421668600023,0.461119876580165,FALSE,""
"w000024",60,50,1,499,-1.99926079121641,0.461119876580165,FALSE,""
"w000025",60,50,1,499,-1.92735384370189,0.461119876580165,FALSE,""
"w000026",60,50,1,499,-1.34907229650054,0.461119876580165,FALSE,""
"w000027",60,50,1,499,-1.44015867360332,0.461119876580165,FALSE,""
"w000028",60,50,1,499,-1.52018896992715,0.461119876580165,FALSE,""
"w000029",60,50,1,499,-1.30600961309673,0.461119876580165,FALSE,""
"w000030",60,50,1,499,-1.12850383113525,0.461119876580165,FALSE,""
"w000031",60,50,1,499,-1.71307009415465,0.461119876580165,FALSE,""
"w000032",60,50,1,499,-1.93893829180019,0.461119876580165,FALSE,""
"w000033",60,50,1,499,0.26400286593809,0.461119876580165,FALSE,""
"w000034",60,50,1,499,-0.497135800891065,0.461119876580165,FALSE,""
"w000035",60,50,1,499,-2.03927533174904,0.461119876580165,FALSE,""
"w000036",60,50,1,499,-1.55700767546871,0.461119876580165,FALSE,""
"w000037",60,50,1,499,-0.832246991862097,0.461119876580165,FALSE,""
"w000038",60,50,1,499,-2.37894597099501,0.461119876580165,FALSE,""
"w000039",60,50,1,499,-1.47720150906982,0.461119876580165,FALSE,""
"w000040",60,50,1,499,-0.672527680059305,0.461119876580165,FALSE,""
"w000041",60,50,1,499,1.76563401533812,0.461119876580165,TRUE,""
"w000042",60,50,1,499,-0.920196190858744,0.461119876580165,FALSE,""
"w000043",60,50,1,499,-1.66710757019772,0.461119876580165,FALSE,""
"w000044",60,50,1,499,-1.91893840684988,0.461119876580165,FALSE,""
"w000045",60,50,1,499,-1.66494856262563,0.461119876580165,FALSE,""
"w000046",60,50,1,499,-2.28015103399988,0.461119876580165,FALSE,""
"w000047",60,50,1,499,-0.785279157753704,0.461119876580165,FALSE,""
"w000048",60,50,1,499,-1.60270989105304,0.461119876580165,FALSE,""
"w000049",60,50,1,499,-1.68881811608921,0.461119876580165,FALSE,""
"w000050",60,50,1,499,0.190038198410468,0.461119876580165,FALSE,""
"w000051",60,50,1,499,-1.55184751285644,0.461119876580165,FALSE,""
"w000052",60,50,1,499,-2.60024718922751,0.461119876580165,FALSE,""
"w000053",60,50,1,499,-0.948816754113329,0.461119876580165,FALSE,""
"w000054",60,50,1,499,-0.982816090332763,0.461119876580165,FALSE,""
"w000055",60,50,1,499,-1.45666576201337,0.461119876580165,FALSE,""
"w000056",60,50,1,499,-0.609408380623077,0.461119876580165,FALSE,""
"w000057",60,50,1,499,0.122962991170342,0.461119876580165,FALSE,""
"w000058",60,50,1,499,-1.39326104874693,0.461119876580165,FALSE,""
"w000059",60,50,1,499,-2.13751571452786,0.461119876580165,FALSE,""
"w000060",60,50,1,499,-1.07730670724101,0.461119876580165,FALSE,""
"w000061",60,50,1,499,-0.563486597921898,0.461119876580165,FALSE,""
"w000062",60,50,1,499,-1.26081831511716,0.461119876580165,FALSE,""
"w000063",60,50,1,499,0.128920967960509,0.461119876580165,FALSE,""
"w000064",60,50,1,499,-2.68927605370733,0.461119876580165,FALSE,""
"w000065",60,50,1,499,-2.18813725051473,0.461119876580165,FALSE,""
"w000066",60,50,1,499,-1.57972760340266,0.461119876580165,FALSE,""
"w000067",60,50,1,499,-1.76139591431472,0.461119876580165,FALSE,""
"w000069",60,50,1,499,-2.13751571452786,0.461119876580165,FALSE,""
"w000070",60,50,1,499,-0.51943299025681,0.461119876580165,FALSE,""
"w000071",60,50,1,499,-1.37775363146947,0.461119876580165,FALSE,""
"w000072",60,50,1,499,-0.160759719241795,0.461119876580165,FALSE,""
"w000073",60,50,1,499,-1.70066845404013,0.461119876580165,FALSE,""
"w000074",60,50,1,499,-0.304146139779557,0.461119876580165,FALSE,""
"w000075",60,50,1,499,-0.155809491908602,0.461119876580165,FALSE,""
"w000076",60,50,1,499,-1.19815051234828,0.461119876580165,FALSE,""
"w000077",60,50,1,499,-1.17245425939494,0.461119876580165,FALSE,""
"w000078",60,50,1,499,-1.31167614451572,0.461119876580165,FALSE,""
"w000079",60,50,1,499,-0.318955283658491,0.461119876580165,FALSE,""
"w000081",60,50,1,499,-1.32542714002059,0.461119876580165,FALSE,""
"w000082",60,50,1,499,0.165956842454646,0.461119876580165,FALSE,""
"w000083",60,50,1,499,-0.702047905219238,0.461119876580165,FALSE,""
"w000084",60,50,1,499,-0.33881918091242,0.461119876580165,FALSE,""
"w000085",60,50,1,499,0.53879250748557,0.461119876580165,TRUE,""
"w000086",60,50,1,499,-1.2139536506625,0.461119876580165,FALSE,""
"w000087",60,50,1,499,-1.55635606412481,0.461119876580165,FALSE,""
"w000088",60,50,1,499,-1.20909065896054,0.461119876580165,FALSE,""
"w000089",60,50,1,499,-1.29331613492644,0.461119876580165,FALSE,""
"w000090",60,50,1,499,-1.00958859726705,0.461119876580165,FALSE,""
"w000091",60,50,1,499,-0.11369683572781,0.461119876580165,FALSE,""
"w000092",60,50,1,499,-1.63950354126319,0.461119876580165,FALSE,""
